date,home_team,away_team,tournament,match_year,elo_diff,home_elo,away_elo,home_form_pts,away_form_pts,form_pts_diff,home_form_gf,away_form_gf,home_form_ga,away_form_ga,home_is_host,away_is_host,host_diff,is_knockout,result
1918-09-20,Uruguay,Argentina,Copa Lipton,1918,-33.0,1943.0,1976.0,1.6,1.0,0.6000000000000001,1.6,0.8,1.0,1.2,0,0,0,0,Draw
1918-09-29,Argentina,Uruguay,Copa Newton,1918,33.0,1976.0,1943.0,1.2,1.2,0.0,1.0,1.2,1.2,1.0,0,0,0,0,Home Win
1919-03-09,Belgium,France,Friendly,1919,227.0,1777.0,1550.0,1.2,2.0,-0.8,3.0,2.8,2.8,2.0,0,0,0,0,Draw
1919-05-13,Argentina,Uruguay,Copa América,1919,53.0,1986.0,1933.0,1.6,1.0,0.6000000000000001,1.2,1.0,1.0,1.2,0,0,0,0,Away Win
1919-05-18,Brazil,Argentina,Copa América,1919,-155.0,1831.0,1986.0,0.6,1.6,-1.0,1.0,1.4,2.6,1.0,0,0,0,0,Home Win
1919-05-26,Brazil,Uruguay,Copa América,1919,-102.0,1831.0,1933.0,1.2,1.0,0.19999999999999996,1.4,1.0,2.4,1.4,0,0,0,0,Draw
1919-05-29,Brazil,Uruguay,Copa América,1919,-102.0,1831.0,1933.0,0.8,1.0,-0.19999999999999996,1.6,1.4,2.8,1.8,0,0,0,0,Home Win
1919-06-01,Brazil,Argentina,Friendly,1919,-155.0,1831.0,1986.0,1.4,1.4,0.0,1.4,1.6,2.0,1.6,0,0,0,0,Draw
1919-06-09,Netherlands,Sweden,Friendly,1919,304.0,1955.0,1651.0,1.6,1.6,0.0,3.4,1.6,3.0,1.0,0,0,0,0,Home Win
1919-06-29,Norway,Sweden,Friendly,1919,-234.0,1417.0,1651.0,1.0,1.4,-0.3999999999999999,1.0,1.8,1.6,1.6,0,0,0,0,Home Win
1919-07-18,Uruguay,Argentina,Copa Premio Honor Uruguayo,1919,-53.0,1933.0,1986.0,1.0,1.0,0.0,1.2,1.8,1.6,2.0,0,0,0,0,Home Win
1919-08-24,Sweden,Netherlands,Friendly,1919,-304.0,1651.0,1955.0,1.2,2.0,-0.8,1.8,3.4,1.8,2.6,0,0,0,0,Home Win
1919-08-24,Uruguay,Argentina,Copa Newton,1919,-53.0,1933.0,1986.0,1.4,0.8,0.5999999999999999,1.8,1.8,1.6,2.6,0,0,0,0,Home Win
1919-08-31,Norway,Netherlands,Friendly,1919,-538.0,1417.0,1955.0,1.4,2.0,-0.6000000000000001,1.8,3.2,2.2,2.6,0,0,0,0,Draw
1919-09-07,Argentina,Uruguay,Copa Lipton,1919,53.0,1986.0,1933.0,0.2,2.0,-1.8,1.6,2.2,3.0,1.4,0,0,0,0,Away Win
1919-09-14,Sweden,Norway,Friendly,1919,234.0,1651.0,1417.0,1.2,1.4,-0.19999999999999996,2.2,1.4,2.0,1.8,0,0,0,0,Away Win
1919-10-19,Argentina,Uruguay,Copa Premio Honor Argentino,1919,53.0,1986.0,1933.0,0.2,2.0,-1.8,1.4,2.0,2.8,1.2,0,0,0,0,Home Win
1919-12-07,Uruguay,Argentina,Friendly,1919,-53.0,1933.0,1986.0,1.8,0.8,1.0,1.8,2.4,2.0,2.4,0,0,0,0,Home Win
1920-02-29,Switzerland,France,Friendly,1920,-50.0,1507.0,1557.0,0.8,1.6,-0.8,1.2,2.4,2.4,2.2,0,0,0,0,Away Win
1920-03-28,France,Belgium,Friendly,1920,-213.0,1557.0,1770.0,2.2,0.8,1.4000000000000001,2.8,3.2,1.6,2.8,0,0,0,0,Home Win
1920-04-10,England,Scotland,British Home Championship,1920,160.0,2042.0,1882.0,1.0,1.6,-0.6000000000000001,0.8,1.4,1.4,0.8,0,0,0,0,Home Win
